swetha k Nee ingayum wanthutiya homo 9 !! Homo ku over support ah irukke sari illaye 👎🏽 un koodhiya kilicha taan sari,,,,,,,,,,,,,,,
Mohamed Ali unga hormones ah Ena iruku Adhu than bro Veliya Varum... vibathunu solringa illaya adhu epadi Ninga vibathunu solrinya endha lesbian r gay Vanthu solli irukangala inthanala than Ena straight ah Irunthu gay ah lesbians  ah marinen nu,,,,,,,,,,,,,,,
swetha k ,so lesbian ,gay ellame romba romba thavaru.....intha Mari seiravanga lam romba thappu seiravanga.,,,,,,,,,,,,,
swetha k ,Bible Quran la lam adhu miga periya pavam nu pottu irruku.,,,,,,,,,,,,,,
swetha k ,jack the ripper Mari ,unna Mari alugala kolla atkal varanum...,,,,,,,,,,,,,
swetha k ,naa yarayum rape panna la,ana nee lesbian pannra.pathukoo.naa thappu pannathavan,enna unga boys rape panranga nu sola than mudyum,particular aa enna sola mudiyathu,ana unna Mari lesbian aa particular aa nee thappu panra naaye  nu naa solla mudiyum.,,,,,,,,,,
Nengal solvathu sari endral angalum kuda vethiyil nadaka mudiyathu vulagamey red light àrea ayidum.ennaku 7 arivu vullathu enbathal naan kadavulaye vimarsikkalam enbathu ungal karuthu.......ungal karuthai en arivai kondu (homosexualitaty) oduka virrumba villai athu pol nengal kaduvulai vimarsika vendam .,,,,,,,,,,,,,,,
kattupaadu pirakradhula enna thappu iruku; ungla oru kattupaatukulla ozhukama  valarkaadhadhu  tha ipa neenga pesuradhuku kaaranmaa ; ; oorinaserkai yerkanave irundhadhu thaa illanu sollalaadhu seyakoodadha ondru enbadhinaala tha adhu vendamnu sollavendi iruku; ; ; nenga solramadhiri paartha yaaru yaaruku vidhi vidhikradhu nu keta edhuvume oru ozhukathula irukaadhu ; ; kattupaadhu pirakradhu edhuku theriyuma oru ozhungu nilaiyila manidhan irukanum ndradhukaaga tha ; ; na edhuku mathavangaluku payapadanum na edhuku enna kattupaduthanum nu ellarum kelvi kettu vazhndha ipa irukradha vida ulagam innum mosama aagividum; ; manidhan thannudaya manadhai sariyaa aalanum manasila vara ella ennangalukum ella unarvugalukkum edam koduthaa avan sariyaana manidhane kedaiyaadhu; ; manidhan sariyaa irukanum ; ; pagatharivu idhuku thaa manidhil varum ennangal sariyaanadha illayanu nidhaanithu paakathaan; ; kadavul pakthi ulla penna neenga irundhinganaa ipadi pesamaatinga  unga manasa sariyaana amaipila nadathi iruppinga,,,,,,,,,,,,,,,
Worst human being,,,,,,,,,,,,,,,
Yendi nayai gays vida hetero kaivala manavagala ? ; Podi kudhi nayai ; Naama innam azhivu kalam unnai maari lesbien aala azhiyaa pothu,,,,,,,,,,,,,,,
Innaiku pullaga rottula pona Kaiya pudichu ilukaranga...  Naalaiku Pasanga pona ilupanga athaum ippa Marie Kai katte waydika pakkawayndithu thaan.,,,,,,,,,,,,,,,
Nalaa kozhappura d alien mandai po d poi ponnu maathiri mudi valathittu va,,,,,,,,,,,,,,,
Ithula pakkum pothu Hiv ah vida mosamana disease la varpothunu theryuthu,,,,,,,,,,,,,,,
ivanga ponna paiyana .....,,,,,,,,,,,,,,,
Wolaguthela kevalamana pirapu .kevalamana seyal ungalalam engaiyum allowd panna kooddhu,,,,,,,,,,,,,,,
Asingkama itukku.....   inimel best frd endu kooda yarodaiyum nerungki palaka mudiyathu pola... aandava,,,,,,,,,,,,,,,
Ne la manusha piravi ya cha,,,,,,,,,,,,,,,
Neenga solrathellam sarithaan....  Singles nelamaya konjam yosichu paarunga...  Erkanave ponungaluku demand...  Ellam lesbian aitaa naanga enga porathu...  Naanga saamiyaar thaan aganum...  Sathiyama homo aagamatten...  Future la ponnukedaikaamaiye homo agaporaanga nalla theriyuthu.... 😭😭😭😭😭,,,,,,,,,,,,,,,
ithu pombalaya aambalaya mental mari pesuthu komba,,,,,,,,,,,,,,,
Orinaserkkai miga periya pavam, sothom komara patanathai theeiyinal azhitha Pavam...vendam Manam marungal,,,,,,,,,,,,,,
Vaai valiyadhan sapdanum, soothu valiyadhan sapduvenu sonna, sapdu........,,,,,,,,,,,,,
yaru intha loosu munda,,,,,,,,,,,,,,,
Podi thevidiya munda evala kolungada,,,,,,,,,,,,,,,
This type of addiction...''iyarkaiye onnuku onnu muranbada iruku'' kevalamana explanation....thuu,,,,,,,,,,,,,,,
Unna mari unga appan unga amma ninaichi iruntha nee eppdi porathu irupa..podi munda..sorry poda munda...enna soldrathu unna,,,,,,,,,,,,,,,
Like that oru ponuku oru male organ avaloda vagina la pogum bothu tha sex sugama erukum, rendu ponunga sernthu ena panuvinga, banana or carrect ella fingers ah,,,,,,,,,,,,,
Podi punda. Itha unga appan paniruntha ne poranthurukamata d,,,,,,,,,,,,,,,
Evol tha neega koovi koovi sonnalum ithu thappu thaa enna tha nee kathunalum. Sun set east la nadakathu... Athu west la set agum... Ithu thappu thaa😠😠😡,,,,,,,,,,,,,,,
thuuuuuu keavalama iruku,,,,,,,,,,,,,,,
Ithu oru  Kevalam. Unarvugal endra Peyaril  Ithai niyaaya  padutha mudiyathu. Ithu  Oru oonam  allathu wrong sprit.,,,,,,,,,,,,,,,
Di ..palavatra oenga appan ,enoru Ambala Kuda padutha noi vanthurukum ,ne vanthuruka Mata...kandapadi okka asai padura ne olukatha pathi pesura..,,,,,,,,,,,,,
Podi lusu..un pecha keta irritatinga iruku ellam therinja genius mathiri pesura...gay lesbian ulagathula uruvaaganumna avargal thai thanthaiku pirakkakudathu...thai thanthaiku piranthavargal gay lesbianaga irukakudathu..avargal thai thanthaikum intha ulagathukum aruvaruppanavargal....ivargal thotruviyathi mathiri ivargalai makkaloda vaalavaithal ivargalai pola ilaingargal maarividuvargal piragu enna nadakumendru sinthithu paarungal...ivargalai othukividungal....oruvan pirakkumbothu lesbianaga gayaaga irupathillai...avargal  valarumbothu seium thavarugal than ithu..ivargal thavarana padangalai paarthu antha aasaiyai poorthi seivatharkku than inathavargalodu inaigirargal homosexku entha unarchiyum ilai ivargal seium thavarai niyapaduthugirargal... thirunangai pirakkumbothu appadi pirakkirargal athu iyarkai..aanal homosex ivargal nam naatirku saabakedu...,,,,,,,,,,,,,,,
Chi karumam...othukiye vaikanum..,,,,,,,,,,,,,,,
Emma ne sapadula samparuku bathila saniya oothi sapduviya,,,,,,,,,,,,,,,
Valkiey alievie thedie poreengaley,ithu oru peria pavam ,nala visiangaley pesama unaku thevianathu eduthu hitu un thapie nyapaduthara?,,,,,,,,,,,,,
Antha kulanthiha ungalie patha epadie nala valarum,nala yochi pesunga ulaham poratha  nenacha byamairukuthu,,,,,,,,,,,,,,
@sowmya asokan  Tiching Tiching      no.2 Va di nee ???,,,,,,,,,,,,,,,
naagarigattai azhikka tudikkum saniyangala. india la oru nalla kalaccharam irukku adha naasam pannadinga.,,,,,,,,,,,,,,,
Aids - paravum.,,,,,,,,,,,,,,,
Praveen kumar poi olli ...neenga elam inga eduku iruka...,,,,,,,,,,,,,,,
appo unna tha first adikanom,,,,,,,,,,,,,,,
Nii modhala payana ponna🤔🤔,,,,,,,,,,,,,,,
Nee penna naane confuse aaitten ...,,,,,,,,,,,,,,,
Epdiyo poi tholainga !!! Ipo unak enna vaenum sex pananum panika !!!,,,,,,,,,,,,,,,
Ooh avena neeyi,,,,,,,,,,,,,,,
Praveen kumar comment purinja pesanum, illa’na poite irukanum. Naan avala manushanga illa’nu enga solli iruken? Oru theva illatha, kevalamaana subject’ku ivlo puratchi aalar maathari scene’a poda vendiya avasiyam illa’nu thaan sonen. Pombala naayum pombala naayum onna irukurathu nee paarthu irukiya? Iva paarthu irukalaam. Ivlo poi pulugi oru asingamaana visayathuku alapara kuduka vendiya avasiyam illa’nu thaan solren.,,,,,,,,,,,,,
Ajithan CJ pongada vennaingala...,,,,,,,,,,,,,,,
Ini aanum aanum aanum and pennum pennum friendsa pesina kooda thappa dhan parkka paduvargal.so sad,,,,,,,,,,,,,,,
damaal dumeel aluthamanatha....ha ha ha...kevalamanathu...,,,,,,,,,,,,,,,
Unna paathale aruverupa iruku, modhalla nee pombalaya iru di, adhudhaan namma TamilNadu ku identity, thooo un attitude pathale vaandhi varudhu, karumam thu,,,,,,,,,,,
Yerkanave AIDS vanthuduchi pola,,,,,,,,,,,,,,,
@Saran Raj Aids vanthavarkal Epadi iruparkal engintra pothu arivukuda ungalluku illai!!!,,,,,,,,,,,,,,,
@Jose Morphin  dai kiruku biblela ippadilam pannakudathunu solliruku..makkal nalanukaga than sollapattiruku...ellarun suyapunarchi seiuran enbathai unala proof pana mudiuma...oruvan valithavari ponavanthan intha thappellam pannuvan...,,,,,,,,,,,,,,,
Intha marie asingam nadanthathala oru patanam alinthathie solranga,,,,,,,,,,,,,,,
S sir bible'a iruku but evnga kita sona athukum ethachum soluvanga, ipde onu nadanthuchna  india'ku alivu nichayam, Sodom komoravula oru nalla manushan iruntharu loth but indiala ethana Peru irukanga apdi iruntha namalum thappalam alivula irunthu,,,,,,,,,,,,,
Kevala piraveengala neenga,,,,,,,,,,,,,,,
Thuppu katta pozhapu,,,,,,,,,,,,,,,
Judgement kudutha naaye saavuda porambokku,,,,,,,,,,,,,,,
Idu thappu nu solra ellarume sex ah pathi mattu than nenakranga..... mattravargal yaar yaarai kaadalika vendum endru naam mudivu seivadu  oru kevalama seyal,,,,,,,,,,,,,,,
avan aruvisavan avonouku  annoudaya👞👟👞👟👟👟👞💄,,,,,,,,,,,,,,,
Pongadaaaaa gay Pu.....,,,,,,,,,,,,,,,
Ulakathil aan pennukkakavum pen anukkakavum padaikkapattavarkal   ithil matram seivathinal iruvarukkum ulla binaippu nichayam udaiyum anbu thaniyum,,,,,,,,,,,,,,,
Andha Judge ja Seruppala Adikkanum!,,,,,,,,,,,,,,,
kadavuluku ethiranathu ithu ..kadavula meeruna sakthi manushangaluku epavume kidaiyathu.. ulagathin azhivukana aarambam ithula..,,,,,,,,,,,,,,,
Orina  serkai  enbathu  kevalam    makkal  thokai  athikamaguthuna  first   itha  pannavendiyathu  thana  appo  enga  pochu  mula,,,,,,,,,,,,,,,
ivlo naal maranji maranji thappu pannavala ini dhairiyama pannuva.,,,,,,,,,,,,,,,
petti kekura paiyane gay dan nu theliva theriyuhdu,,,,,,,,,,,,,,,
Ganja sarakku lam unga odambuku kettadhu! Oru paiyan innoru paiyan ah love panradhu epdi odambuku kettadhu?,,,,,,,,,,,,,,,
LGBT agree pandravanunga ellarum manangeta naynga,,,,,,,,,,,,,,,
nay panni maatu innam konchanal pona adhaium seyyalamguvanga,,,,,,,,,,,,,,,
Va d 9 usu vinoth,,,,,,,,,,,,,,,
Thevdiya mavana unna adichi kolanuda,,,,,,,,,,,,,,,
it's a very very wrong things nature ku veerotham mana kariyam itha aadharika mudiyathu......,,,,,,,,,,,,,,,
தனி மனித ௨ரிமைனு ௭துக்கு சொல்லனும் ஒரு விவஸ்ததையே இல்லையாடா உங்களுக்கு.....; ; 6 arivil irunthu 5 arivu nokkithan poranuga...muttal payaluga...ini familkulaiye sistersah ammava marriage panalamnu solluvanuga... ithuthan sarisamam...sattamnu soluvanuga...muttal kootam... kali yugam naii pandirgal matrithan nadakum,,,,,,,,,,,,,,,
Kadavulin kadaiku migavum alaganathu..... epadinaum valalam nu nenachi athu valkai illa.....pengaluku mattum uriyathu kulanthai petredupathu..... orina  serkaiyal ellame marupadum....,,,,,,,,,,,,,,,
aids varumey ,atharkku neethi mandram marunthu kodukkumaa ? neethibathikalaaga irukkum  anaivarum ithai oppukolkiraarkala ? balathkaaramaaka oruvar  oru siruvanai      ( pandriyai pola  )punarnthaal  entha sattappadi thandanai koduppeerkal .? jai hind .sollanumaa? baarath maatha ki jai sollanumaa >?ini mathaa eppadi varuvaal ?,,,,,,,,,,,,,,
ean  boomi thannai thanea sutrikkondu  :sun:suriyanai sutruginrana,  ean  aanum  pennumaai  padaikka  pattana, ean   suriyan  kizhakkil mattum  uthayamaginrana  (sila athyaavasiyamana   kattuppadugal  illatha vazhkai  vazhkaye  illai)   ithu  thavaru,,,,,,,,,,,,,
Ulaga azhivuku muthal #pillayarsuzhi😠😡; Kadaisila ஆண் பெண்  Iruvarukum மலடி பட்டம் தான்,,,,,,,,,,,,,,,
Idu sari nu solita.boys eppadi bathroom poradhu.,,,,,,,,,,,,,,,
Unmai...oru thirunangai enmagan Mel kai vaithu enkann munnadiyae asingama pesina.... Enpayan appa than just 9std padichitu erundhan...nan satham potadhuku, ennai avalo asingama pesinadhudan enaku ennai sutri erundha anaivarum verum vedikai than Parthanar...yaarum udhaviku varala.... thirunangai yai thitina paavamnu solranga...but avanga thirunangai apadingiradjae advantage a yeduthukaranga.... Yaar ketpadhu...,,,,,,,,,,,,,,
Entha naykala kollunga sir,,,,,,,,,,,,,,,
Ethungala Athey edathula nikavachi serupala aadikanum ethunga pathi peru epadi Kevalama eruku,,,,,,,,,,,,,,,
ethu alam rampaa over🙄🙄😬😬😬😇😇👊👊👊entha naigali 👠👠👠adichi anapanum.evargal thoulai thanka modiyala,,,,,,,,,,,,,,,
Otha saavadikkanum ivangalai.,,,,,,,,,,,,,,,
seruppala adinga intha nayingala,,,,,,,,,,,,,,,
onna senthu adichu amanathoda oda vidanum.intha poriki naaigala.onu rendu tha olukam.matha thela thevidiyaluga tha.ithunala tha inthungala naai mathri pakuranga,,,,,,,,,,,,,,,
@அப்துர் ரஹ்மான்  avan oru Ali pola iruku... Athaan ipdie pesuran ji.... Vidunga,,,,,,,,,,,,,,,
Manikandan  ithunga thollaithan thaangalena neengalum yen sanda podringa bro s,,,,,,,,,,,,,,,
9 elathium savadikanum,,,,,,,,,,,,,,,
Savvadi this 9 dogs sai,,,,,,,,,,,,,,,
Ali tevidiya vela Dana pappanga engayum vanthuduchungula,,,,,,,,,,,,,,,
Inda naigla thookla podanum,,,,,,,,,,,,,,,
Dai potta punda nenum 9 pundaya,,,,,,,,,,,,,,,
Ivan ambala potta vesam potturukan ivana pedicji jaila podanum,,,,,,,,,,,,,,,
9no Ariel adithal kaja kaja kujua kuja,,,,,,,,,,,,,,,
Thevidiya mundaikala otha ommala ivalungaluku support panra baadu pasangala serupala adikanum,,,,,,,,,,,,,,,
thu naayingala kadavul adhanalathan ungala ippadi padaitthu irukirar,,,,,,,,,,,,,,,
Edhunga tholla thanga mudila. Evangaluku support pandravanga parunga endha vedio ha,,,,,,,,,,,,,,,
Naama asingaththukku payandhu odhungi poradha ivalunga saadhagamaki than ipdi panralunga.ewanavadhu 4 appu appinaanna mooditu powalunga..roadla ivalungala pathale bayama irukku,,,,,,,,,,,,,,,
9 thukala pathale kanduavathu,,,,,,,,,,,,,,,
Porambokku munda thevidiya paiyyan or thevidiya munda... 9 items,,,,,,,,,,,,,,,
Shavam poi chathoode ninak karumam veruthu ethokkea kanditt  arappakunnu chiiiiii,,,,,,,,,,,,,,,
Ivaragalai theru nai pola oda oda kallal adikanum,,,,,,,,,,,,,,,
Railway police ithungalam keatka matanuga..... Samaniya makkala pottu. Adika than laaiyaku,,,,,,,,,,,,,,,
Intha 9 evolo pesitu iruka ..pakathu la oru block t shirt potu paiyan headset pottu mudidu ukanthurukann...unmailaye antha black t shirt potruka paiyan than 9 nu ninaiken.....9 vta ...antha paiyana patha than athikama kovam varuthu......,,,,,,,,,,,,,,,
Nana irunthaa sevutlaya arainthu ieubben,,,,,,,,,,,,,,,
Entha naikalai suttu kollanum,,,,,,,,,,,,,,,
Na oruthadava friends kooda car la okanthurnthen ithunga varatha na pakala doora open panni kaasu kodu illati asingam padithurvean nu sonna so na kaasu koduthutean ithu mathiri neraiya nadanthurku romba mosam ithunga saabam vidrathu... Kaasu illa nu sonna theva illama peasunga  ,,,,,,,,,,,,,,,
Serpala adikanum......enga ponanulm ithuka tholla thanga mudila ...,,,,,,,,,,,,,,,
Kottayula kalala adingada,,,,,,,,,,,,,,,
Idhula kodumanai ennana...pala poli thirunangaigalum sutha aarambuchitanga.....vela vetti illadha ambalinga kooda saree pottukittu indha maadhiri oora yemathikitu thiriyiranga......,,,,,,,,,,,,,,,
Gomala ungala savadikanu thevidiyala,,,,,,,,,,,,,,,
Ne  yaruku porantha payana...pona,,,,,,,,,,,,,,,
ethula evara evangaluku eda othikudu vennuma. ....nenga first olunga iruka. ..8+1,,,,,,,,,,,,,,,
9 Thevidiyas...poi Vela senji sapdungade loosu koothiss...,,,,,,,,,,,,,,,
ith entha transgenders aano,,,,,,,,,,,,,,,
Train la irunthu pudichu thali vidanum pola iruku.. Ena polapu ithu.,,,,,,,,,,,,,,,
evalunga 9 nu confirm panitanga thrvidiya pullanga,,,,,,,,,,,,,,,
entha matheiri 9pundaikala serupala adikanum😠😠😠😠,,,,,,,,,,,,,,,
velakamatha uttu aatanum,,,,,,,,,,,,,,,
Yela 9 maduraiyila Nee ippadi  panniyirunthenna un sanga aruthuruppom,,,,,,,,,,,,,,,
intha aravani kumbalai adikka vendu ellorum sernthu,,,,,,,,,,,,,,,
ethugala thiruthave mudiyathu naayega,,,,,,,,,,,,,,,
Evangala serupala adikinum,,,,,,,,,,,,,,,
9 thugala olichaathaan naadu urupadum. Pesura petcha paaru. Nasamapona saniyen.,,,,,,,,,,,,,,,
Arun lee ni oru Alee,,,,,,,,,,,,,,,
anta 9 naiyi kundela metechu trainla eruntu talle vitrukaum,,,,,,,,,,,,,,,
na anga iruntha avana Otha savadichi iruippa antha 9,,,,,,,,,,,,,,,
Serupalaye adikanum..over talking..,,,,,,,,,,,,,,,
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta,,,,,,,,,,,,,,,
Thevidiya pasangalukku koodhi koluppu aaiduchu,,,,,,,,,,,,,,,
seruppa kalatti adikanum.; veliya poi work panni sambathikka vendiyathu thana.; ipdi makkala asinga paduthanuma thoooooooo.; vaaila nalla varuthu.; puduchu jail la podunga sir...,,,,,,,,,,,,,,,
Ivangala Yarra uyiroda Vala sonnathu intha polappukku poi thookkula thongalam thu,,,,,,,,,,,,,,,
Eevagala Gun la Shut panne bro,,,,,,,,,,,,,,,
ithunga yen ippud alaithunga kaasuku poi ulaichu sapdunga 9 ngalaaa elllam eppud ukkanthu vedikkai pakkuthunge paruu chiii..pavam antha vayasaanavaru...cha,,,,,,,,,,,,,,,
Thirunangaigalla nallavangalu erukaanga but evangala Maari erukaravangala serupula adikanu vaila pesa kudathu bros,,,,,,,,,,,,,,,
Ali pundainga, onnu night la poo vachiu road orama nikardhu illa train la thottu thottu picha kaekardhu - indha saniyanungala ellam savadikanum,,,,,,,,,,,,,,
Iam tomboy but I don't like lesbian,,,,,,,,,,,,,,,
Dog ah love panna naye,,,,,,,,,,,,,,,
25 varushathukku munnadi indha vishayatha ketrunda seruppala adichurupanga.,,,,,,,,,,,,,,,
ladies u gents onna suthunale ella thapa nenaipanga. idhula ippidi vera vandhuruchu ini girls kudayum sutha mudiyathu 😞😟😟😟,,,,,,,,,,,,,,,
Ethala oru polappa.theruyula pora naikooda rode pannathu manusagatha ayooo,,,,,,,,,,,,,,,
mic ha pudingi thala mela adingada avala vanthuta mic thukitu💪👊,,,,,,,,,,,,,,,
Ivanga soldratha purunjukkave mudiyala. Ippo pudhusa keakuranaala namakku adhu asingama thonuthu. But after we all accept it . and Indian black ah tha irundhanga adhu namma culture but fair and lovely pottu white aaga virumburanga why America la irukavanga white ah alaga irukanga adhunaala. I accept that law .but holy bible and kurhan and bahavath geethai ellathulaum idhu thappunnu irukku.,,,,,,,,,,,,,,,
atellaam onnume ellai.; sarcaiyum ellai onnum ellai.; avan pee tingiraan nu evenum pee tingiraan.; ente nigalciyai yedukkuraangele avungelai seruppaale adinge.; ente progrme tevai ellai.; ente progrmme yeduttevingele seruppale adingge.; appetan tirunttuvaange.; yen evenunge butti yellaam eppadi pee tinge pogutu?; yellaam yemattu velai.; yella  drama.,,,,,,,,,,,,,,,
Unmai homosex seiravargal saavanum,,,,,,,,,,,,,,,
Don't support LGBT,,,,,,,,,,,,,,,
@tamil vellum  you are perfect homosexuality munadi irunthatha katilum ippo athu athigarichitu iruku. So my suggestion is better avoid it completely. Brain illatha gents and ladies than konjam kooda yosikama kamavigarathula homosexuality la thalaiyiduranga. Adduthavangala paakaathinga nama behavior ra irukama that's the quality. Intha kalathula boy sa katilum girls than 100% homosexuality accept panurangana athuku kaaranum avunga suya kamathukaga illegaluku support. Irruthi nalula avunga history & family complete ta vanish ayirum.periyavunga pecha ketkama avunga istathuku nadantha avungaluku Santhathiye irukaathu,,,,,,,,,,,,,,,
Gayathri GovindRaj thevdya lesbain ah ne.  Pesra pecha paru.saakadaya thinnuviya d  ne sothuku bathila,,,,,,,,,,,,,,,
Ada thevdya payala. Ipdie ponna chinna ponna mattum kedukamatanva. Chinna pasanglaium chinna vayasule kedupaanva. Valarum vithatha poruthu than irku ithu. Pathi pasangla chinna vauasula gay aaki vitruvanunga. Mutta payala olunga irka idatha saakadai ah matha solriya ne,,,,,,,,,,,,,,,
Homosex koodiyana nee,,,,,,,,,,,,,,,
Evanungala aambalaiya .  9 ku avlo mathippa entha samoogathula .. rathatha paathukooda oruthanu kekkala ..,,,,,,,,,,,,,,,
Periya ambalapunda mathiri orutha pesura paru porambokku punda kommala ithapathuttu replay pundra potta,,,,,,,,,,,,,,,
Thrichy maanagara kaavalthurai enna seithukondu erukkindrathu udane nadavadikkai edukkavum potta paadu pasangala kaithu sei,,,,,,,,,,,,,,,
Nee sekaram seathuduva potta nayea porambokku punda unnala aruthu savadikanum theavidiyaluku poranthavanea okka vittu sambathippa pola un v2la erukaravaggala athan kolluppu,,,,,,,,,,,,,,,
Theavidiya maganea potta padu mudittu vealaiya paru pool sapi,,,,,,,,,,,,,,,
First bus stand la 9 kaithatti paisa keka kudathunu oru rules kondu varanum oruthara appadi pesuraga people vedikai parkuthu intha thirunagai mela irukkura mariyathaiye pooche,,,,,,,,,,,,,,,
io samy 9kitta maatuna summa vituvangala,,,,,,,,,,,,,,,
orinai serkai oliya vendum,,,,,,,,,,,,,,,
Nasama pogum naduuu,,,,,,,,,,,,,,,
Dai avana ni.......😮,,,,,,,,,,,,,,,
Pudichi velutha sariya poidum,,,,,,,,,,,,,,,
@harish balaji  neeyum 9 ah videos la iruka paithiyatha pathi pesuna unaku kovam varuthi,,,,,,,,,,,,,,,
@Atchu atchu  otha Naanum pathutu iruka Suma operation pani 9 mari agurathu aripu adaka mudiyama aambala aambala pombala pombala sex panrathu elam kadavuluku iyarkai ku edhira panitu keta naanga panrathu thappu ila engaluku support pannanum government support venum nu oombitu irukurathu thelavari thanam panrathuku support vera pannanuma namma,,,,,,,,,,,,,,,
Ootha ithulam kooduma ; Eiyarkai Ku muran paduranga ; Oru nall anubavipinga Mela oruthan pathutu irukan maranthurathinga,,,,,,,,,,,,,,,
hotel la ellam easy room kedaikum gay to gay  & lesbian to lesbian - bisexual than konjam kasatam ellam jolly ah enjoy pannuga,,,,,,,,,,,,,,,
Idha pathu valara pora namma pasanga nelamaiya nenacha dhan bayama irukku.idha ippovae mudichidunum illana,,,,,,,,,,,,,,,
Enna kepanga? Unga veetla en ponnu kooda sex vachikura nu kepangala?,,,,,,,,,,,,,,,
@vijay visvasi  lol innum nalla kolachikittey iru..un vaaythan naarasama pesuthu athunaala unnapethavathan periya pundaya irrupa.athanala ippadi oru baaram thevayilla poi senthidu.,,,,,,,,,,,,,,,
@Kadhayalla Nijam  ne saavu otha gay Punda mavane adichu saavadichuruva una,,,,,,,,,,,,,,,
@vijay visvasi  ethukku unakku kodukanum..nee sethuthola,,,,,,,,,,,,,,,
@Kadhayalla Nijam  dey punda un number kudu saavadichuruva una,,,,,,,,,,,,,,,
Adichu thorathunga da,,,,,,,,,,,,,,,
Next animal s kum humansum marriage feeling s slluvaga 😂😂thevidiya bt group z,,,,,,,,,,,,,,,
Mokka reasons solli kaamathai theerkum valiyai thedukirarkal iyarkai ku ethirana ethuvume thavaruthan,,,,,,,,,,,,,,,
@Kadhayalla Nijam  viluthuda gay koodhigala matamalayada poiduvinga neenga,,,,,,,,,,,,,,,
nanban praveen unnathan adikanym,,,,,,,,,,,,,,,
@vijay visvasi  macha avan gay thevidiya da😂😂,,,,,,,,,,,,,,,
@Kadhayalla Nijam  dey ne gay thana perumai ya soluveengale aprm en da bayapadra othuko ne gay thanu,,,,,,,,,,,,,,,
@Kadhayalla Nijam  thaa gay Punda Apo ne confirm gay tha,,,,,,,,,,,,,,,
Thooooooooo 💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦ECCHA AVUSAARINGLAA , THEVIDIYAA PUNDAINGLAA... KEDUKKETTADHUNGALUKKU PERUMAI VERA,,,,,,,,,,,,,,
Dei already ponnu kidaikala idhula idhu veraya daw,,,,,,,,,,,,,,,
Enna krumam da Idhu,,,,,,,,,,,,,,,
Vanagada gay kammunatingala,,,,,,,,,,,,,,,
Yathiku support pandringa appo unga Anna thmbi kuda valuinga la think paneparuinga,,,,,,,,,,,,,,,
Ulagam enge poguthu azhivu nichayam varapoguthu,,,,,,,,,,,,,,,
thirunangaigal panra kolai thirutu lam yean sollala, nee nalla vaalra athunala unakum onnum illa thirunangigal mukkavasi thirutu kumbal than..,,,,,,,,,,,,,,
Ne eduku pora punda nea potta mooditu erukaveandithu thana punda nadikkaadha de gomma,,,,,,,,,,,,,,,
Veara leavel Anna yarumea entha mathiri yeattukkala neenga atha paathi yeatuthurikkinga super anna 👌👌👌👌👌👌👌👌👌👌👌👌last aala vachuttiting akka neenga yeappothum happy ah erukkanum illarum akka I love you akka,,,,,,,,,,,,,,,
intha thevduya kothika en kita Ipadi pesuna ungotha iruka konjam sunnium  aruthuruven 9 punda thimiru kothi paru,,,,,,,,,,,,,,,
Adhukalugu 1rs,2rs potina poiruvalga ..edhukku pechu vangittu,,,,,,,,,,,,,,
seruppala adichi entha naaya road la ezuthutu poganum ...public yellam senthu adichey kollanum ombothu naaya ...ethugala mathiri aalalatha  yella thirunangaikalukum asingam ....seruppala adiga public ethugala,,,,,,,,,,,,,,,
Pichaai edupavarkaal kuda amma ayya thaayee en mariyathaai udaaan ketkirarkaaal ana evarkaaloooooo athatti miraatti kasaai parikum nabarkaaal....; Engalluku sama urimai vendiyum endru ketaal matrum patraathu athukku thakunthaar pol nadanthu kolla vendumm.... evarkaal edam erukkum thaaapa sariseithaaal pothum seri aki vidum.... andraadum nadakum sambavangal ethu.. eraavu pakaaal ena kastapatu poraaadi kasu serthaaal athai pudukngara varum kevalamana piravigaaal,,,,,,,,,,,,,,,
Pitchakara Moothevinga Train la Ukkara uda maatithunga Parathesinga thuu. Ithungaluku daily azha vendiyatha iruku,,,,,,,,,,,,,,,
Naanum intha mathiri kashta pattiruken intha naigalala,,,,,,,,,,,,,,,
Serupa alla ADI naramunda,,,,,,,,,,,,,,,
Ithungala serupala adichi jaila talAnum 9 potaigalA,,,,,,,,,,,,,,,
Ivananungala serupale atikanum,,,,,,,,,,,,,,,
Kuda poravanuga full ah ombodhu pasanga la da ,..adichu verattama pongal thinna mathiri ukanthu irukanuga,,,,,,,,,,,,,,
Adi thavidiya kakkurudhu picha ; Olunga kattu poodi,,,,,,,,,,,,,,,
Indha thevdiya tholla thanga mudila yella train laum Eri eri picha edukudhunga.....,,,,,,,,,,,,,,,
Serupa kalati adikanum..,,,,,,,,,,,,,,,
Kotha ,,,seruppula adichii police pudichi kodukkanum .....,,,,,,,,,,,,
Sharupala adikkunam Pisa karenay niga,,,,,,,,,,,,,,,
Evalungala aasinga paduthuradhula thppu ella chi,,,,,,,,,,,,,,,
Yenmunadi mattum yaracha  indha gomma 9thu pesirundha,,,, avala avlodha yarukutheriyama kathaiyavey mudichruva.... 9munda.....ora adi ideeeiiieee ata yerakirupa,,,,,,,,,,,
